feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,efficiency
PANEL_B,polycrystalline,472.43060292554145,north_field,0.14774080805415646,924.9561850470865,0.06195767319461576,13.78473128180222,88.8613876202827,0.6739097683483425,8.0,4.16804278592136,0.6527873794181491,228.68530362580032,9.792651167884507,0.6283112452259154,0.1337878026063435,partly_cloudy,9.674871204749351
PANEL_A,thin_film,339.8545025178179,east_valley,0.8236700841540623,422.8100153196747,0.3699197025293298,8.704430264401566,65.98633187802723,0.703502503436339,0.0,51.06206456333518,0.3506426070169566,111.97309902616506,8.964523836025512,0.5899133665461072,0.5235593570708099,hazy,5.581774716562774
PANEL_C,monocrystalline,372.36191588537497,west_hill,0.5043978298304701,464.0461304939653,0.648195779138703,7.472530078819908,67.44654139032531,0.048247831377314254,3.0,12.413886632893789,0.8749216686287106,349.2304601865972,12.639867054620568,0.12105464908577523,0.7862390885760566,partly_cloudy,8.643418373467401
PANEL_B,polycrystalline,937.1069804033034,south_station,0.8548591556204268,553.2461551850588,0.4200372592789803,30.92444981032171,70.9543599534299,0.23833975557695053,0.0,26.481878134444475,0.17474286929466853,39.215799407413336,9.211848723381769,0.04538870018213459,0.9918443276877478,overcast,10.658450152738697
PANEL_C,polycrystalline,207.67079928978876,east_valley,0.3499776834223788,627.2814480657862,0.8357658477444365,19.826138393066405,63.41668627249392,0.7635277971646225,10.0,10.088059497967867,0.4434058514370992,244.66924426283248,4.392118882822319,0.9618290827556587,0.6644239170293564,overcast,5.0
PANEL_B,thin_film,689.4666567526538,south_station,0.22142178677025326,427.2474135623862,0.6911269947128991,16.911651644748765,51.699056808324244,0.8691175590113939,9.0,52.88888177601876,0.8592016521956091,59.00805782581154,7.896829003449326,0.10325693107049405,0.8205342124747619,clear,7.036174386501918
PANEL_A,thin_film,360.07565896870153,south_station,0.7718833610647237,944.2815333903276,0.8151123311575937,23.799243667345756,43.381394696147325,0.3990345836217952,7.0,14.581317808438312,0.07840402103386535,239.45155839590953,8.358224289338017,,0.09587686259066197,partly_cloudy,10.239129700142954
PANEL_A,polycrystalline,857.7239053611328,south_station,0.020084810012095944,642.7967300731623,0.9362778405139862,19.957736923933943,,0.8633125470192917,7.0,30.184291770166087,0.24784705234507487,335.3232189722982,2.2854659625757554,0.8929532841637589,0.6310687959020305,partly_cloudy,8.439543408041741
PANEL_B,polycrystalline,544.9349359438195,north_field,0.8970502185464644,369.3514692557608,0.6941459496038163,22.250732121971872,74.19084468556859,0.1662553514317694,8.0,41.8747532732739,0.4126505682887087,222.98895246241494,6.799355064263105,0.9605877825241682,0.7936385655212961,partly_cloudy,6.648513822387967
PANEL_C,monocrystalline,341.6025756129884,west_hill,0.9003613873671032,711.2907254431332,0.677746989470935,22.382803311477907,85.32878671286089,0.3581700842176877,9.0,42.26664994213204,0.9669506207842935,305.3090668328432,14.543417129208542,0.3081914458763738,0.12662028724514585,clear,10.268898761691487
PANEL_B,thin_film,1082.0854788715683,east_valley,0.7247946228587325,816.4387073192127,0.03299676122967743,39.29934163934425,38.83462893906514,,0.0,56.89346008724306,0.6936541411280512,176.96526441620273,10.472260402047858,,0.08912582756528342,hazy,13.891431780644007
